,name,address,stars,score,link,price,currency,main_image
0,Diamond Sea Hotel,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km",4,"8,6",https://www.agoda.com/vi-vn/diamond-sea-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a,499.999,499.999,https://pix8.agoda.net/hotelImages/861432/-1/1c1abb90c28013840d46e9ef77ced95f.jpg?ca=12&ce=1&s=450x450
1,Khách sạn Dana Marina (Dana Marina Boutique Hotel),"Phước Mỹ, Đà Nẵng - cách trung tâm 2,0 km",4,"8,2","https://www.agoda.com/vi-vn/dana-marina-boutique-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=9,16,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",344.186,344.186,https://pix8.agoda.net/hotelImages/2486094/-1/b5d9b23f063e07ea6f8f7855e9ce2cd2.jpg?ca=7&ce=1&s=450x450
2,Khách sạn Balcona Đà Nẵng (Balcona Hotel Da Nang),"Phước Mỹ, Đà Nẵng - cách trung tâm 2,7 km",4,"8,7","https://www.agoda.com/vi-vn/balcona-hotel-da-nang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",758.544,758.544,https://pix8.agoda.net/hotelImages/4965532/-1/5213b8a6ebed3c856ccce6ebfc88af78.jpg?ca=7&ce=1&s=450x450
3,Mercure Danang French Village Bana Hills,"Hòa Ninh, Đà Nẵng - cách trung tâm 24,8 km",4,"8,4",https://www.agoda.com/vi-vn/mercure-danang-french-village-bana-hills_2/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a,0,Unknown,https://pix8.agoda.net/hotelImages/5160814/0/a84e8e1a48a63c50918bbfa7ce7235d7.jpg?ce=0&s=450x450
4,IBIZA Riverfront Hotel Da Nang,"Phước Mỹ, Đà Nẵng - cách trung tâm 0,4 km",4,"8,1","https://www.agoda.com/vi-vn/ibiza-riverfront-hotel-da-nang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=9,9,-1,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",350.539,350.539,https://pix8.agoda.net/hotelImages/7395755/-1/471bfd680778e0251aec5139bb587056.jpg?ca=27&ce=0&s=450x450
5,KHU NGHỈ DƯỠNG ĐẢO THE BLOSSOM - Trọn gói (THE BLOSSOM RESORT ISLAND – All Inclusive),"Hải Châu, Đà Nẵng - cách trung tâm 1,8 km",4,"8,7","https://www.agoda.com/vi-vn/the-blossom-resort-danang_4/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",1.048.805,1.048.805,https://pix8.agoda.net/hotelImages/926594/-1/d95e6a9aca5d8cbd4d9f4d64eb5e72f4.jpg?ca=10&ce=1&s=450x450
6,LIVIE Đà Nẵng Style (LIVIE Da Nang Style),"Phước Mỹ, Đà Nẵng - cách trung tâm 2,0 km",0,"9,2","https://www.agoda.com/vi-vn/bella-boutique-villa-apartment/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16,16,-1,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",526.306,526.306,https://pix8.agoda.net/hotelImages/9080175/-1/3bf746737004da5fe095de560c1f1e52.jpg?ce=0&s=450x450
7,Adaline Hotel & Suite,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,0 km",4,"8,6","https://www.agoda.com/vi-vn/adaline-hotel-suite/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=9,9,16,16,-1,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",482.693,482.693,https://pix8.agoda.net/hotelImages/189/1899405/1899405_17041214310052340392.jpg?ca=6&ce=1&s=450x450
8,Biệt thự Fanta Suite (Fanta Suite Villa),"Phước Mỹ, Đà Nẵng - cách trung tâm 1,9 km",0,"8,2",https://www.agoda.com/vi-vn/fanta-suite-villa/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a,730.159,730.159,https://pix8.agoda.net/hotelImages/485/4858029/4858029_18041617110063435772.jpg?ca=0&ce=1&s=450x450
9,Khách sạn & Căn hộ White Sand (White Sand Hotel and Apartment),"Phước Mỹ, Đà Nẵng - cách trung tâm 1,8 km",4,"8,9","https://www.agoda.com/vi-vn/white-sand-hotel-and-apartment/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=7,4,16&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",322.657,322.657,https://pix8.agoda.net/hotelImages/1713002/-1/f1ca8047c98b7624042f0fb4f71866c0.png?ca=16&ce=1&s=450x450
10,Draco Hotel & Suites,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,8 km",4,"8,9",https://www.agoda.com/vi-vn/draco-hotel-da-nang-h31008939/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a,534.125,534.125,https://pix8.agoda.net/hotelImages/31008939/-1/d002f11ca01abbfae3a49ac14c5e63b6.jpg?ce=0&s=450x450
11,Khách sạn Radisson Đà Nẵng (Radisson Hotel Danang),"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km",5,9,"https://www.agoda.com/vi-vn/radisson-hotel-danang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",1.446.949,1.446.949,https://pix8.agoda.net/hotelImages/19005900/0/c994019fa3c83af33a6f38c370f64bcf.jpg?ca=28&ce=0&s=450x450
12,Grandvrio City Đà Nẵng bởi Route Inn Group (Grandvrio City Danang by Route Inn Group),"Hải Châu, Đà Nẵng - Nội thành",4,"8,7","https://www.agoda.com/vi-vn/grandvrio-city-danang-by-route-inn-group/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=9,16,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",492.950,492.950,https://pix8.agoda.net/hotelImages/2079204/-1/6e81b9879960fac22f88328c0f4ff341.jpg?ca=7&ce=1&s=450x450
13,IBIZA Riverfront Hotel Da Nang,"Phước Mỹ, Đà Nẵng - cách trung tâm 0,4 km",4,"8,1","https://www.agoda.com/vi-vn/ibiza-riverfront-hotel-da-nang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=9,9,-1,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",350.539,350.539,https://pix8.agoda.net/hotelImages/7395755/-1/471bfd680778e0251aec5139bb587056.jpg?ca=27&ce=0&s=450x450
14,Harmony Homestay,"Hải Châu, Đà Nẵng - cách trung tâm 0,9 km",0,"9,2","https://www.agoda.com/vi-vn/harmony-homestay/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=17,2,16&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",250.120,250.120,https://pix8.agoda.net/hotelImages/23168138/328908056/bcbc05be111ee21b734332b297089ccb.jpg?ca=18&ce=1&s=450x450
15,Rice's House Hotel & Apartment,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,0 km",3,6,https://www.agoda.com/vi-vn/rice-s-house-hotel-apartment/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a,0,Unknown,https://pix8.agoda.net/hotelImages/32200125/0/2a00140ae54e5ad843475e4072153ce2.jpg?ca=29&ce=0&s=450x450
16,KHU NGHỈ DƯỠNG ĐẢO THE BLOSSOM - Trọn gói (THE BLOSSOM RESORT ISLAND – All Inclusive),"Hải Châu, Đà Nẵng - cách trung tâm 1,8 km",4,"8,7","https://www.agoda.com/vi-vn/the-blossom-resort-danang_4/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",1.048.805,1.048.805,https://pix8.agoda.net/hotelImages/926594/-1/d95e6a9aca5d8cbd4d9f4d64eb5e72f4.jpg?ca=10&ce=1&s=450x450
17,HAIAN Beach Hotel & Spa,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,7 km",4,"8,9",https://www.agoda.com/vi-vn/haian-beach-hotel-spa/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a,895.799,895.799,https://pix8.agoda.net/hotelImages/4842622/-1/1586d0e4cdae2a0d2d602fd512a5ea5c.png?ce=0&s=450x450
18,Mandila Beach Hotel (Mandila Beach Hotel DaNang),"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km",4,"8,9",https://www.agoda.com/vi-vn/mandila-beach-hotel-danang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a,659.933,659.933,https://pix8.agoda.net/hotelImages/2225433/-1/76d71d41afe541e9d554292fd09699d4.jpg?ca=28&ce=0&s=450x450
19,Khách sạn Centre (Centre Hotel),"Hải Châu, Đà Nẵng - Nội thành",3,"8,5","https://www.agoda.com/vi-vn/centre-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=3,16,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",243.673,243.673,https://pix8.agoda.net/hotelImages/1214913/-1/637785361870163888c240f2d0c0a84a.jpg?ca=29&ce=0&s=450x450
20,LIVIE Đà Nẵng Style (LIVIE Da Nang Style),"Phước Mỹ, Đà Nẵng - cách trung tâm 2,0 km",0,"9,2","https://www.agoda.com/vi-vn/bella-boutique-villa-apartment/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16,16,-1,-1&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a",526.306,526.306,https://pix8.agoda.net/hotelImages/9080175/-1/3bf746737004da5fe095de560c1f1e52.jpg?ce=0&s=450x450
21,SALA DANANG BEACH HOTEL,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,1 km",5,"9,1",https://www.agoda.com/vi-vn/sala-danang-beach-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-12-15&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=c27de894-63b6-450a-977e-4cb81590786a,986.032,986.032,https://pix8.agoda.net/hotelImages/7243073/-1/2c23bff22987ee68884d4f4996df672a.png?ca=9&ce=1&s=450x450
